run_id,strategy_id,symbol,period,cost_mode,observation_count,trade_count,net_return,buy_and_hold_return,excess_return_vs_buy_and_hold,total_cost,maximum_drawdown,status,receipt_path
H003_moving_average__BTCUSDT__2025__baseline,H003_moving_average,BTCUSDT,2025,baseline,8759,129,-0.25289746070575814,-0.07153430562385155,-0.1813631550819066,0.129,-0.2920134140029208,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2025__baseline/run_receipt.json
H003_moving_average__BTCUSDT__2025__stress,H003_moving_average,BTCUSDT,2025,stress,8759,129,-0.34341898661058645,-0.07153430562385155,-0.2718846809867349,0.258,-0.374669550217253,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2025__stress/run_receipt.json
H003_moving_average__BTCUSDT__2026YTD__baseline,H003_moving_average,BTCUSDT,2026YTD,baseline,4991,63,-0.26938510961054973,-0.27392758141712437,0.004542471806574633,0.063,-0.3108493151181404,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2026YTD__baseline/run_receipt.json
H003_moving_average__BTCUSDT__2026YTD__stress,H003_moving_average,BTCUSDT,2026YTD,stress,4991,63,-0.31406647278979305,-0.27392758141712437,-0.040138891372668684,0.126,-0.35104795720300386,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__BTCUSDT__2026YTD__stress/run_receipt.json
H003_moving_average__ETHUSDT__2022__baseline,H003_moving_average,ETHUSDT,2022,baseline,8759,121,-0.49158831807542036,-0.6787222269972926,0.1871339089218722,0.121,-0.557672829619727,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2022__baseline/run_receipt.json
H003_moving_average__ETHUSDT__2022__stress,H003_moving_average,ETHUSDT,2022,stress,8759,121,-0.5495762287535311,-0.6787222269972926,0.1291459982437615,0.242,-0.5784823342524085,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2022__stress/run_receipt.json
H003_moving_average__ETHUSDT__2024__baseline,H003_moving_average,ETHUSDT,2024,baseline,8783,112,0.9197253575198006,0.45404724875953484,0.4656781087602657,0.112,-0.2710566108384411,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2024__baseline/run_receipt.json
H003_moving_average__ETHUSDT__2024__stress,H003_moving_average,ETHUSDT,2024,stress,8783,112,0.7161095585147519,0.45404724875953484,0.26206230975521705,0.224,-0.2968828469008765,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2024__stress/run_receipt.json
H003_moving_average__ETHUSDT__2025__baseline,H003_moving_average,ETHUSDT,2025,baseline,8759,119,-0.17742356911407287,-0.11655617326158696,-0.060867395852485906,0.11900000000000001,-0.5734808696502649,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2025__baseline/run_receipt.json
H003_moving_average__ETHUSDT__2025__stress,H003_moving_average,ETHUSDT,2025,stress,8759,119,-0.26983467139438855,-0.11655617326158696,-0.1532784981328016,0.23800000000000002,-0.5928757417625592,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2025__stress/run_receipt.json
H003_moving_average__ETHUSDT__2026YTD__baseline,H003_moving_average,ETHUSDT,2026YTD,baseline,4991,63,-0.311220618642851,-0.36488232471197823,0.053661706069127235,0.063,-0.38167963241871217,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2026YTD__baseline/run_receipt.json
H003_moving_average__ETHUSDT__2026YTD__stress,H003_moving_average,ETHUSDT,2026YTD,stress,4991,63,-0.35333161968596527,-0.36488232471197823,0.011550705026012964,0.126,-0.4130589473042192,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__ETHUSDT__2026YTD__stress/run_receipt.json
H003_moving_average__SOLUSDT__2022__baseline,H003_moving_average,SOLUSDT,2022,baseline,8759,103,-0.547567048561223,-0.9421626638821209,0.39459561532089793,0.10300000000000001,-0.6165306378656443,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2022__baseline/run_receipt.json
H003_moving_average__SOLUSDT__2022__stress,H003_moving_average,SOLUSDT,2022,stress,8759,103,-0.59190871843427,-0.9421626638821209,0.35025394544785093,0.20600000000000002,-0.6360150774779486,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2022__stress/run_receipt.json
H003_moving_average__SOLUSDT__2024__baseline,H003_moving_average,SOLUSDT,2024,baseline,8783,109,0.4064553917819318,0.856708513142409,-0.45025312136047724,0.10900000000000001,-0.40713186047506933,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2024__baseline/run_receipt.json
H003_moving_average__SOLUSDT__2024__stress,H003_moving_average,SOLUSDT,2024,stress,8783,109,0.2609604742713343,0.856708513142409,-0.5957480388710747,0.21800000000000003,-0.4258772965075108,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2024__stress/run_receipt.json
H003_moving_average__SOLUSDT__2025__baseline,H003_moving_average,SOLUSDT,2025,baseline,8759,129,-0.42877351443622624,-0.3526020567154876,-0.07617145772073863,0.129,-0.6073379162772004,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2025__baseline/run_receipt.json
H003_moving_average__SOLUSDT__2025__stress,H003_moving_average,SOLUSDT,2025,stress,8759,129,-0.49791347002076525,-0.3526020567154876,-0.14531141330527764,0.258,-0.6531321174757814,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2025__stress/run_receipt.json
H003_moving_average__SOLUSDT__2026YTD__baseline,H003_moving_average,SOLUSDT,2026YTD,baseline,4991,67,-0.3152713006386838,-0.4071114662405114,0.09184016560182762,0.067,-0.3863936845436806,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2026YTD__baseline/run_receipt.json
H003_moving_average__SOLUSDT__2026YTD__stress,H003_moving_average,SOLUSDT,2026YTD,stress,4991,67,-0.35969690619975125,-0.4071114662405114,0.04741456004076017,0.134,-0.4210096442439981,completed,experiments/runs/h002_h003_followup_v1/H003_moving_average__SOLUSDT__2026YTD__stress/run_receipt.json
